id,question,choice1,choice2,choice3,choice4,explanation,img,category
1-1,器官と器官を接合する働きを持つものはどれか,支持組織,筋組織,神経組織,上皮組織,正解：支持組織\n2025年二月准看テストにあります,img/1.png,人体
1-2,下肢にある骨について正しいものはどれか,腓骨,橈骨,鎖骨,蝶形骨,正解：腓骨\n橈骨は上腕にあります。鎖骨は肩にあります。蝶形骨は頭部にあります。2025年2月准看テストにあります,img/2.png,人体
1-3,成人の正常は赤血球の説明で正しいものはどれか,酸素の輸送を担っている,球状の細胞である,腎臓で破壊される,寿命は約60日である,正解：酸素の輸送を担っている\n赤血球は中央がくぼんだ形をしています。また脾臓、肝臓、骨髄で破壊され、寿命は120日です。2025年2月准看テストにあります,img/3.png,人体
1-4,次のうち正しいのはどれか,血管は動脈・静脈・毛細血管に区別される,肺静脈には静脈血が流れている,動脈は内膜と外膜の2層からなる,人体の血液循環には全身の血液を送るがある,正解：血管は静脈・動脈・毛細血管に区別される\n肺静脈には動脈血が流れます。動脈は内膜・中膜・外膜の3層らなります。人体の血液循環には全身の血液を送るのは体循環です。2025年2月准看テストにあります,img/4.png,人体
1-5,呼吸の生理について正しいものはどれか,横隔膜の上下運動による呼吸を腹式呼吸という,呼吸中枢は小脳にある,外肋間筋の収縮により胸腔は狭まる,肺で行われる酸素と二酸化炭素の交換を内呼吸という,正解：横隔膜の上下運動による呼吸を腹式呼吸という,img/5.png,人体
1-6,インスリンについて正しいものはどれか,ランゲルハンス島のβ細胞から分泌される,血糖値を上げる作用がある,肝臓や筋肉でグリコーゲンを分解する,分泌が過剰になると糖尿病になる,正解：ランゲルハンス島のβ細胞から分泌される\nインスリンには血糖値を下げる効果があります\n肝臓はグリコーゲンを蓄え、筋肉はグリコーゲンをエネルギーとして使用します。インスリンの分泌が低下すると糖尿病になります。2025年2月准看テストにあります,img/6.png,人体
1-7,次のうち誤っているものはどれか,腎小体のことをネフロンという,右腎は左腎よりも低い位置にある,腎小体でろ過された原尿は尿細管へと流れていく,尿管には3か所の生理的狭窄部がある,正解：腎小体のことをネフロンという\nネフロンは腎小体+尿細管です2025年2月准看テストにあります,img/7.png,人体
1-8,皮膚感覚でないのはどれか,味覚,痛覚,温度覚,触圧覚,正解：味覚\n味覚は舌の感覚です。2025年2月准看テストにあります,img/8.png,人体
1-9,言語活動と関係が深いのはどれか,大脳皮質,橋,脊髄,視床下部,正解：大脳皮質\n橋は神経伝達物質のバランスを調整しています。脊髄は脳と体をつなぐ神経の束です。視床下部はホルモンの分泌をしています,img/9.png,人体
1-10,細胞内にある遺伝情報を有する核内物質について正しいものはどれか,DNA,リボソーム,ゴジル装置,ミトコンドリア,正解：DNA\n他の選択肢は細胞内小器官です。リボソームはたんぱく質の合成を行います。ゴジル装置は細胞内物質の梱包発送を行います。ミトコンドリアはATPの合成を行います。2025年9月准看テストにあります,img/10.png,人体
1-11,次のうち誤っているものはどれか,短期間で大きな力を要する運動は主として有酸素運動である,肋間筋は呼吸運動に関与する,骨格筋の両端は腱を介して骨に付着する,骨格筋は横紋筋である,正解：短期間で大きな力を要する運動は主として有酸素運動である\n無酸素運動です。有酸素運動は軽～中等度の負荷を長時間行う運動のことです。2025年9月准看テストにあります,img/11.png,人体
1-12,血液系について誤っているものはどれか,成人の赤血球の寿命は約30日である,成人の赤血球は骨髄で作られる,血小板は止血に関与する,白血球は炎症性疾患で増加する,正解：成人の赤血球の寿命は約30日である\n赤血球の寿命は120日です。2025年9月准看テストにあります,img/12.png,人体
1-13,心電図におけるP波は何を表すか,心房の興奮,心室の興奮,心室の興奮の消退,心室に興奮が始まってから終わるまでの時間,正解：心房の興奮\n心室の興奮はQRS波によってあらわされます。心室の興奮の消退はT波によってあらわされます。心室に興奮が始まってから終わるまでの時間はQT間隔です。2025年9月准看テストにあります,img/13.png,人体
1-14,肺の構造について正しいものはどれか,肺の上部を肺尖と呼ぶ,肺の底部を肺門と呼ぶ,左肺は上葉・中葉・下葉の三葉に分けられる,右肺は上葉・下葉の二葉に分けられる,正解：肺の上部を肺尖と呼ぶ\n肺門は気管支や血管が肺に出入りするところです。右肺は上葉・中葉・下葉の三葉に分けられ、左肺が上葉・下葉の二葉に分けられます。2025年9月准看テストにあります,img/14.png,人体
1-15,胆汁について正しいものはどれか,第十二指腸乳頭（ファーター乳頭）から排出される,胆嚢で作られる,たんぱく質の消化を助ける,大腸で再吸収される,正解：第十二指腸乳頭（ファーター乳頭）から排出される\n胆汁は肝臓で作られます。脂質の消化を助けます。小腸で再吸収されます。2025年9月准看テストにあります,img/15.png,人体
1-16,成人男性の1日の糸球体ろ過量（GFR）について適切なものはどれか,約180L,約125mL,約1.5L,約10L,正解：約180L\n2025年9月准看テストにあります,img/16.png,人体
1-17,副腎ホルモンの働きについて正しいものはどれか,抗炎症作用がある,抗利尿作用がある,骨の成長を促進する,血糖値を下げる,正解：抗炎症作用がある\n抗利尿作用があるのはバソプレシンです。骨の成長を促進するのは成長ホルモンです。血糖値を下げるのはインスリンです。2025年9月准看テストにあります,img/17.png,人体
