id,question,choice1,choice2,choice3,choice4,explanation,img,category
1-1,令和4年の日本の出産数に最も近いのはどれか,７７万人,５７万人,９７万人,１１７万人,正解：７７万人\n令和４年度の人口動態統計によると日本の出生数は７７万７５９人であり明治３２年の人口動態調査開始以来最少となった。第１１４回全国公開模擬試験にあります。,img/1-1.png,必修
1-2,令和元年の国民健康・栄養調査における１日の平均睡眠時間で最も多いのはどれか,6時間以上7時間未満,5時間未満,8時間以上9時間未満,9時間以上,正解：6時間以上7時間未満\n令和元年度の国民健康・栄養調査によると1日平均睡眠時間は6時間以上7時間未満の割合が最も高く男性32.7％、女性は36.2％です。第１１４回全国公開模擬試験にあります。,img/1-2.png,必修
1-3,仕事と生活の調和憲章で正しいのはどれか,多様な生き方が選択・実現できる社会を目指している,女性の社会進出を促進するために策定された,パートタイム労働者については言及していない,厚生労働省により提案された,正解：多様な生き方が選択・実現できる社会を目指している\nワークライフバランスは内閣府が推進していいます。姓や年齢などにかかわらず、だれもが自らの意欲と能力を持って様々な働き方や生き方に挑戦できるよう推定されました。短時間労働者及び有期雇用労働者の雇用管理の改善等に関する法律など、パートタイム労働者の働き方について改善策も展開しています。関係閣僚、経済界、労働界、地方公共団体の代表等から構成される仕事と生活の調和推進官民トップ会議において策定されました。第１１４回全国公開模擬試験にあります。,img/1-3.png,必修
1-4,介護保険で正しいのはどれか,要介護1は介護給付の対象となる,65歳以上の実が給付を受けられる,在宅の改修は給付されない,要支援2は介護給付の対象となる,正解：要介護1は介護給付の対象となる\n介護保険は40歳以上65歳未満の第二号被保険者は海嶺に伴う疾病が原因で要介護・要支援認定を受けた場合、給付の対象となります。一定の条件を満たす要介護・要支援者の住宅改修に給付されます。要支援1～2は予防給付の対象となります。要介護1～5は介護きゅふの対象となります。第１１４回全国公開模擬試験にあります。,img/1-4.png,必修
1-5,大泉門が閉鎖する時期はどれか,1歳6か月頃,2～3か月頃,6か月頃,2～3歳頃,正解：1歳6か月頃\n大泉門は初めの数か月は増大するがその後は収縮して1歳6か月頃までは閉鎖します。第１１４回全国公開模擬試験にあります。,img/1-5.png,必修
1-6,令和4年度の全国体力・運動習慣等調査の結果で正しいのはどれか,ちょう座体前屈は男女ともに向上した,体力合計点は男女ともに上昇した,肥満の割合は男女ともに低下した,上体起こしは男女ともに向上した,正解：長座体前屈は男女ともに向上した\n体力合計点は令和元年度調査から連続して小中学生男女ともに低下しました。小中学生の男女ともに肥満の割合は増加しています。上体起こしの能力は低下しています。第１１４回全国公開模擬試験にあります。,img/1-6.png,必修
1-7,疾病が患者・家族に与える心理・社会影響の説明で適切なのはどれか,患者の回復意欲は家族のかかわり方により変化する,患者の疾病のとらえ方はどの家族でも同じである,家族の1人が健康を害したとき他の家族の役割に変化はしない,経済的負担は影響しない,正解：患者の回復意欲は家族のかかわり方により変化する\n家族の一人が健康を害したとき価値観や生活様式の違う各各の家族によってその疾病のとらえ方は異なり、家族は援助や介護をする役割が増え家族間での役割交代が生じる可能性があります。家族の一人が健康を害したとき入院費、治療費など患者にかかる費用だけでなく、患者を取り巻く家族の経済的な負担も派生し、心理社会的にも影響を与える。第１１４回全国公開模擬試験にあります。,img/1-7.png,必修
1-8,細胞性免疫で正しいのはどれか,Ｔ細胞が関与する,Ｂ細胞が関与する,免疫抗体と補体が関与する,直ちに非自己の排除が行われる,正解：T細胞が関与する\n細胞性免疫は細胞の内に入り込んだ病原体そのものやウイルス感染細胞、がん細胞などの異物として排除サウル免疫機構で細胞傷害性T細胞やマクロファージなどが行う。体液中に放出された抗体や保体による異物の排除は液性免疫といいます。B細胞は液性免疫に関与します。免疫抗体は液性免疫です。直ちに免疫反応が起こるのは液性免疫です。第１１４回全国公開模擬試験にあります。,img/1-8.png,必修
1-9,排尿時に収縮するのはどれか,排尿筋,内尿道括約筋,外尿道括約筋,尿管,正解：排尿筋\n排尿時、は内・外尿道括約筋は弛緩します。尿管は平滑筋からなる長さ20～30ｃｍの管です。尿は尿管の平滑筋の蠕動運動によって膀胱へと移動します。第１１４回全国公開模擬試験にあります。,img/1-9.png,必修
1-10,脳死半手にに必要な検査はどれか,脳波検査,聴覚検査,心電図検査,筋電図検査,正解：脳波検査\n脳死の判断は瞳孔の散大、脳幹反射消失、無呼吸などが対象となり、二回の判定が行われます。第１１４回全国公開模擬試験にあります。,img/1-10.png,必修
